reporter_status,cell_soma_location,species,id,name,structure_layer_name,structure_area_id,structure_area_abbrev,transgenic_line,dendrite_type,apical,reconstruction_type,disease_state,donor_id,structure_hemisphere,normalized_depth
positive,"[9538.80649965223, 1836.43343887416, 3241.35823013891]",Mus musculus,502367941,Ctgf-2A-dgCre;Ai14(IVSCC)-230665.02.02.01,6b,385,VISp,Ctgf-T2A-dgCre,spiny,intact,dendrite-only,,502077342,right,0.972346730889256
positive,"[8997.54618698314, 1838.82491510601, 9167.02100438092]",Mus musculus,497590510,Rorb-IRES2-Cre-D;Ai14-226102.04.01.01,5,409,VISl,Rorb-IRES2-Cre,spiny,intact,,,497082774,left,0.614797413417174
positive,"[9697.93378404118, 1933.48345688904, 2427.7596532099]",Mus musculus,584872371,Htr3a-Cre_NO152;Ai14-314467.03.02.01,5,385,VISp,Htr3a-Cre_NO152,aspiny,NA,full,,583087145,right,0.515895585007567
positive,"[8892.37034734555, 830.463257652, 8572.42311255082]",Mus musculus,555341581,Htr3a-Cre_NO152;Ai14-276428.03.01.02,1,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,552940522,left,0.0547253058186159
negative,"[8861.45281779929, 875.613141329462, 3529.11919227559]",Mus musculus,488491756,Rorb-IRES2-Cre-D;Ai14-212868.04.02.01,4,385,VISp,Rorb-IRES2-Cre,aspiny,NA,,,487607576,right,0.405437901006388
positive,"[8600.0, 1708.27912478957, 1529.31909992203]",Mus musculus,562432852,Ndnf-IRES2-dgCre;Ai14-290386.04.02.01,1,402,VISal,Ndnf-IRES2-dgCre,aspiny,NA,,,562296607,right,
,"[82.0, 272.0, 81.0]",Homo Sapiens,567776248,H17.06.003.12.06.03,5,12141,MTG,,spiny,truncated,,epilepsy,567704703,left,
positive,"[9500.0, 1405.30182944901, 8720.35890413006]",Mus musculus,486754703,Pvalb-IRES-Cre;Ai14-208711.03.01.01,2/3,385,VISp,Pvalb-IRES-Cre,aspiny,NA,,,486471354,left,0.441851039063641
,"[322.0, 246.0, 94.0]",Homo Sapiens,542143598,H16.03.008.11.11.03,4,12141,MTG,,spiny,truncated,full,epilepsy,541755848,right,0.62013096297291
positive,"[8050.0, 1106.81668429992, 3396.01009218119]",Mus musculus,482773968,Htr3a-Cre_NO152;Ai14-200456.06.02.01,5,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,481097286,right,0.74929449187753
negative,"[9200.00000000001, 1613.63841472451, 2385.61810778752]",Mus musculus,486514107,Rorb-IRES2-Cre-D;Ai14-206931.03.02.01,4,385,VISp,Rorb-IRES2-Cre,aspiny,NA,,,486247124,right,0.539931629740425
positive,"[8559.0, 1245.46645663822, 8058.38669749425]",Mus musculus,491029832,Sst-IRES-Cre;Ai14-216078.05.01.01,5,385,VISp,Sst-IRES-Cre,aspiny,NA,,,490257186,left,0.698947693381208
,"[127.0, 354.0, 219.0]",Homo Sapiens,531520401,H16.06.007.01.07.02,3,12113,FroL,,spiny,intact,full,tumor,518229880,left,0.428976771450575
,"[67.0, 256.0, 110.0]",Homo Sapiens,527942865,H16.06.008.01.26.04,5,12141,MTG,,spiny,truncated,full,epilepsy,527747035,left,0.694465802153644
positive,"[8404.72297285481, 745.670664409156, 8004.09557485855]",Mus musculus,517974394,Nr5a1-Cre;Ai14(GSL)-249210.04.01.01,2/3,385,VISp,Nr5a1-Cre,spiny,intact,,,517104665,left,0.36825096005547
positive,"[9351.33869899615, 1391.06688900974, 8262.15695285891]",Mus musculus,464326210,Gad2-IRES-Cre;Ai14-167291.03.01.01,5,385,VISp,Gad2-IRES-Cre,aspiny,NA,,,313401520,left,0.658270879737147
positive,"[8457.527528141, 883.09866626929, 8509.82744387051]",Mus musculus,583141894,Chat-IRES-Cre-neo;Ai14-313182.05.01.01,2/3,385,VISp,Chat-IRES-Cre-neo,sparsely spiny,NA,,,581156784,left,
positive,"[8717.0, 993.400579986192, 3329.13488923495]",Mus musculus,484738748,Scnn1a-Tg2-Cre;Ai14-200711.05.02.01,4,385,VISp,Scnn1a-Tg2-Cre,spiny,intact,,,481097306,right,0.479115063278484
positive,"[9567.21437135339, 2226.20544070167, 2370.7690222474]",Mus musculus,507101551,Rorb-IRES2-Cre-D;Ai14-234246.02.02.01,6a,409,VISl,Rorb-IRES2-Cre,spiny,intact,dendrite-only,,503871576,right,0.78997454695718
positive,"[8918.72168059731, 1569.23039561518, 8640.11760510546]",Mus musculus,592712536,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-323433.04.01.01,5,385,VISp,Nos1-CreERT2|Sst-IRES-FlpO,aspiny,NA,,,591522537,left,
positive,"[9125.35180841524, 1778.26508018144, 2477.31899750724]",Mus musculus,472517038,Sst-IRES-Cre;Ai14-181375.03.01.01,5,385,VISp,Sst-IRES-Cre,aspiny,NA,,,469953452,left,0.605255260149281
,"[66.0, 220.0, 105.0]",Homo Sapiens,596049209,H17.06.009.11.04.05,1,12141,MTG,,aspiny,NA,,tumor,595954915,left,
,"[70.0, 260.0, 111.0]",Homo Sapiens,529807751,H16.06.010.01.03.04.01,3,12141,MTG,,aspiny,NA,full,epilepsy,529678110,left,0.24222476945534
,"[317.0, 268.0, 88.0]",Homo Sapiens,539563223,H16.06.011.01.01.14.02,3,12141,MTG,,spiny,truncated,,epilepsy,539522943,right,
positive,"[9252.51774005553, 1269.01841271259, 3037.92452514836]",Mus musculus,515202564,Scnn1a-Tg3-Cre;Ai14-242586.04.02.01,4,385,VISp,Scnn1a-Tg3-Cre,spiny,intact,,,514342086,right,0.481995194128826
negative,"[8200.0, 929.479995041328, 3677.81886724338]",Mus musculus,560678143,Vip-IRES-Cre;Ai14(IVSCC)-285657.05.02.02,5,385,VISp,Vip-IRES-Cre,spiny,intact,dendrite-only,,560045488,right,0.606822245417581
positive,"[9240.00000000001, 2058.86565496311, 8842.86973542875]",Mus musculus,574038330,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-304714.02.01.01,6a,385,VISp,Nos1-CreERT2|Sst-IRES-FlpO,aspiny,NA,full,,573387321,left,0.808009799789359
positive,"[9380.0, 1597.43273017354, 8945.24192458555]",Mus musculus,322723785,Rorb-IRES2-Cre-D;Ai14-172650.03.01.01,4,385,VISp,Rorb-IRES2-Cre,spiny,truncated,,,320827639,left,0.431063832869693
positive,"[9326.14017165814, 1279.43688884743, 2861.16267787537]",Mus musculus,476457450,Nr5a1-Cre;Ai14-187780.03.02.01,4,385,VISp,Nr5a1-Cre,spiny,intact,dendrite-only,,475849780,right,0.403732868578721
positive,"[8790.23227466551, 631.367960807117, 7685.28421015727]",Mus musculus,477127614,Slc17a6-IRES-Cre;Ai14-190263.04.01.01,2/3,385,VISp,Slc17a6-IRES-Cre,spiny,intact,full,,476803126,left,0.296861669775128
,"[326.0, 250.0, 116.0]",Homo Sapiens,489308885,H15.06.018.02.03.01,4,12141,MTG,,spiny,truncated,,epilepsy,488771222,right,
positive,"[9167.91611906308, 1042.73761539496, 3099.96491464403]",Mus musculus,589452470,Vipr2-IRES2-Cre;Ai14-319360.03.02.01,2/3,385,VISp,Vipr2-IRES2-Cre,spiny,intact,,,588213993,right,
positive,"[8847.43673420269, 710.390591706559, 3590.96673368812]",Mus musculus,486755781,Pvalb-IRES-Cre;Ai14-208711.04.02.01,2/3,385,VISp,Pvalb-IRES-Cre,aspiny,NA,,,486471354,right,0.240282392295955
positive,"[8227.87539690606, 1291.76405019677, 8400.58213585674]",Mus musculus,479107488,Htr3a-Cre_NO152;Ai14-182497.06.01.01,5,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,473879677,left,0.687756204135066
,"[325.0, 257.0, 102.0]",Homo Sapiens,508280385,H16.06.004.01.04.02,5,12141,MTG,,spiny,truncated,,epilepsy,504921484,right,
positive,"[8658.62377159762, 921.774796961162, 3044.72514457668]",Mus musculus,439372920,Htr3a-Cre_NO152;Ai14-177968.04.02.01,2/3,385,VISp,Htr3a-Cre_NO152,aspiny,NA,,,397332016,right,0.261667313216111
positive,"[9018.69805720431, 2148.08387127384, 9093.94355194903]",Mus musculus,569457730,Chrna2-Cre_OE25;Ai14(IVSCC)-298555.04.01.01,6a,409,VISl,Chrna2-Cre_OE25,aspiny,NA,,,567967579,left,
,"[68.0, 252.0, 106.0]",Homo Sapiens,601927090,H17.03.010.11.13.01,3,12141,MTG,,aspiny,NA,full,epilepsy,601901227,left,0.381666850586892
positive,"[8938.63789414673, 1268.43475196862, 8546.52313424141]",Mus musculus,560965993,Nos1-CreERT2;Ai14(BT)-285362.04.01.01,4,385,VISp,Nos1-CreERT2,aspiny,NA,full,,560045450,left,0.429703145781087
positive,"[9096.69880641589, 2318.09714033856, 2193.33255701727]",Mus musculus,562965437,Ctgf-2A-dgCre;Ai14-289417.05.02.01,6a,409,VISl,Ctgf-T2A-dgCre,spiny,intact,,,562386759,right,
positive,"[9009.0, 1015.07441316422, 7920.57851195105]",Mus musculus,490263211,Scnn1a-Tg2-Cre;Ai14-215165.03.01.01,4,385,VISp,Scnn1a-Tg2-Cre,spiny,intact,,,489768913,left,
,"[270.0, 351.0, 219.0]",Homo Sapiens,517673596,H16.06.006.01.04.01,3,12113,FroL,,spiny,intact,full,tumor,517325289,right,0.53257155492601
,"[66.0, 220.0, 105.0]",Homo Sapiens,595999306,H17.06.009.11.04.01,1,12141,MTG,,sparsely spiny,NA,full,tumor,595954915,left,0.0379253039118483
positive,"[9368.52178256, 1884.69476839, 8558.44217637]",Mus musculus,509003464,Ntsr1-Cre;Ai14-235627.04.02.01,6a,385,VISp,Ntsr1-Cre_GN220,spiny,intact,dendrite-only,,506540139,right,0.908507804569992
positive,"[9337.58734666098, 1695.70157221469, 8833.31977050658]",Mus musculus,605141937,Scnn1a-Tg3-Cre;Ai14-337171.04.01.01,5,385,VISp,Scnn1a-Tg3-Cre,spiny,intact,,,603513401,left,
positive,"[8500.0, 673.650989042872, 3669.12050597212]",Mus musculus,582647492,Chat-IRES-Cre-neo;Ai14-313181.05.02.01,2/3,385,VISp,Chat-IRES-Cre-neo,aspiny,NA,,,581156779,right,
,"[67.0, 256.0, 110.0]",Homo Sapiens,528042185,H16.06.008.01.20.05,5,12141,MTG,,spiny,truncated,full,epilepsy,527747035,left,0.533540474362589
positive,"[8182.01975192279, 1043.989929429, 8700.89754042726]",Mus musculus,566671538,Chrna2-Cre_OE25;Ai14(IVSCC)-294465.05.01.01,2/3,385,VISp,Chrna2-Cre_OE25,aspiny,NA,full,,565087402,left,0.34420147591107
,"[308.0, 310.0, 185.0]",Homo Sapiens,488386626,H15.06.016.01.03.02,3,12117,IFG,,aspiny,NA,full,tumor,486909083,right,0.379774663425516
positive,"[9534.76127892923, 1419.28070943195, 2372.10104078596]",Mus musculus,587064346,Chat-IRES-Cre-neo;Ai14-316041.02.02.01,2/3,385,VISp,Chat-IRES-Cre-neo,aspiny,NA,,,584630436,right,
positive,"[9145.03650389171, 1487.82548621374, 3562.50706124409]",Mus musculus,589128331,Sim1-Cre_KJ18;Ai14-318533.06.02.01,6b,385,VISp,Sim1-Cre_KJ18,spiny,intact,dendrite-only,,588188126,right,0.975497386528378
positive,"[9100.0, 706.216160910168, 7062.63945636541]",Mus musculus,573410831,Vipr2-IRES2-Cre;Ai14-304184.03.01.01,5,894,RSPagl,Vipr2-IRES2-Cre,spiny,intact,,,571686567,left,
positive,"[8092.30839494914, 1419.71543586962, 8130.74700006428]",Mus musculus,579662957,Vipr2-IRES2-Cre;Ai14-310515.06.01.01,6b,385,VISp,Vipr2-IRES2-Cre,aspiny,NA,full,,578230864,left,0.957019061502372
positive,"[9230.86548972822, 1029.22667157308, 4625.54291727403]",Mus musculus,572827931,Glt25d2-Cre_NF107;Ai14-304447.06.02.01,5,879,RSPd,Glt25d2-Cre_NF107,spiny,intact,,,571687233,right,
positive,"[8500.0, 695.139373997979, 3188.00981061845]",Mus musculus,570098593,Vip-IRES-Cre;Ai14-298226.05.02.01,2/3,385,VISp,Vip-IRES-Cre,sparsely spiny,NA,,,569752578,right,
positive,"[9178.97458022285, 1313.19128915115, 3089.00680285632]",Mus musculus,558474375,Sim1-Cre_KJ18;Ai14-281334.05.02.01,5,385,VISp,Sim1-Cre_KJ18,spiny,intact,,,557265279,right,
positive,"[8840.00000000001, 664.415768114518, 3924.12859254949]",Mus musculus,574399717,Pvalb-IRES-Cre;Ai14-305772.03.02.01,2/3,385,VISp,Pvalb-IRES-Cre,aspiny,NA,,,573111154,right,
positive,"[8759.56125428953, 2397.98262709014, 9986.94238309309]",Mus musculus,575782162,Chat-IRES-Cre-neo;Ai14-307622.04.01.01,4,541,TEa,Chat-IRES-Cre-neo,aspiny,NA,,,574668416,left,0.468257549139208
,"[69.0, 254.0, 96.0]",Homo Sapiens,528638057,H16.06.009.01.02.05.01,3,12141,MTG,,spiny,truncated,full,epilepsy,528574320,left,0.393438562087628
positive,"[8210.0, 1056.30697914105, 8277.89649647234]",Mus musculus,490172112,Cux2-CreERT2;Ai14-214870.05.01.01,4,385,VISp,Cux2-CreERT2,spiny,truncated,,,489768896,left,0.490061264310988
,"[72.0, 263.0, 103.0]",Homo Sapiens,571427524,H17.06.005.12.15.01,4,12141,MTG,,aspiny,NA,full,epilepsy,571364629,left,0.4645510524009
positive,"[8260.0, 1076.10643417443, 3208.76454000141]",Mus musculus,490916919,Rbp4-Cre_KL100;Ai14-215300.05.02.01,5,385,VISp,Rbp4-Cre_KL100,spiny,intact,,,490198920,right,0.581131940987445
positive,"[8580.52918453797, 1054.92928911385, 2964.66688437022]",Mus musculus,486198953,Cux2-CreERT2;Ai14-205222.03.02.01,4,385,VISp,Cux2-CreERT2,spiny,intact,,,485955752,right,0.46461249783339
positive,"[8889.08782826959, 818.178030348307, 7587.60350998091]",Mus musculus,397243949,Gad2-IRES-Cre;Ai14-177639.03.01.01,4,385,VISp,Gad2-IRES-Cre,aspiny,NA,,,385562232,left,0.543061370413602
